Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
114,Samuel Chukwueze,ng NGA,MFFW,Villarreal,22,1999,27,12,1333,14.8,3,3,3,0,0,4,0,0.20,0.20,0.41,0.20,0.41,4.4,4.4,4.4,8.7,0.29,0.29,0.59,0.29,0.59,Matches,b8a642fc
115,Víctor Chust,es ESP,DF,Cádiz,21,2000,25,20,1830,20.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.7,0.03,0.00,0.03,0.03,0.03,Matches,ec1a731e
116,Jasper Cillessen,nl NED,GK,Valencia,32,1989,17,17,1457,16.2,0,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,04ac8285
117,Pathé Ciss,sn SEN,MF,Rayo Vallecano,27,1994,31,11,1097,12.2,2,1,2,0,0,5,0,0.16,0.08,0.25,0.16,0.25,1.6,1.6,0.5,2.1,0.13,0.04,0.18,0.13,0.18,Matches,9a0408b6
118,Carlos Clerc,es ESP,DF,Levante,29,1992,19,18,1514,16.8,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,1.0,0.01,0.04,0.06,0.01,0.06,Matches,33a61a52
119,Coke,es ESP,DF,Levante,34,1987,6,1,118,1.3,1,0,1,0,0,1,0,0.76,0.00,0.76,0.76,0.76,0.4,0.4,0.1,0.4,0.27,0.05,0.33,0.27,0.33,Matches,6d8f8441
120,Álex Collado,es ESP,MFFW,Granada,22,1999,17,13,1020,11.3,2,1,2,0,0,1,0,0.18,0.09,0.26,0.18,0.26,0.8,0.8,1.2,2.0,0.07,0.11,0.18,0.07,0.18,Matches,85dace26
121,Eray Cömert,ch SUI,DF,Valencia,23,1998,8,5,408,4.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.09,0.00,0.09,0.09,0.09,Matches,15937e17
122,Santi Comesaña,es ESP,MF,Rayo Vallecano,24,1996,35,32,2682,29.8,1,2,1,0,0,12,1,0.03,0.07,0.10,0.03,0.10,4.0,4.0,2.5,6.4,0.13,0.08,0.21,0.13,0.21,Matches,5ae499d0
123,Diego Conde,es ESP,GK,Getafe,22,1998,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4eae5bc4
124,Francis Coquelin,fr FRA,MF,Villarreal,30,1991,20,8,830,9.2,2,1,2,0,0,3,0,0.22,0.11,0.33,0.22,0.33,0.3,0.3,0.7,0.9,0.03,0.07,0.10,0.03,0.10,Matches,a6951bf8
125,Jesús Corona,mx MEX,FWDF,Sevilla,28,1993,18,12,1157,12.9,2,4,2,0,0,2,0,0.16,0.31,0.47,0.16,0.47,1.7,1.7,3.3,5.0,0.13,0.26,0.39,0.13,0.39,Matches,fb938d24
126,Ángel Correa,ar ARG,FWMF,Atlético Madrid,26,1995,36,21,1856,20.6,12,5,12,0,0,3,1,0.58,0.24,0.82,0.58,0.82,6.8,6.8,3.5,10.2,0.33,0.17,0.50,0.33,0.50,Matches,01eb744d
127,Thierry Correia,pt POR,DF,Valencia,22,1999,19,18,1414,15.7,0,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,0.3,0.3,0.9,1.1,0.02,0.05,0.07,0.02,0.07,Matches,c78b352d
128,Hélder Costa,ao ANG,MFFW,Valencia,27,1994,22,13,1118,12.4,0,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.3,0.3,1.7,2.0,0.03,0.14,0.16,0.03,0.16,Matches,f13d02a6
129,Jaume Costa,es ESP,DF,Mallorca,33,1988,25,21,1828,20.3,0,4,0,0,0,5,1,0.00,0.20,0.20,0.00,0.20,0.7,0.7,2.4,3.0,0.03,0.12,0.15,0.03,0.15,Matches,808d48f3
130,Thibaut Courtois,be BEL,GK,Real Madrid,29,1992,36,36,3240,36.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,1840e36d
131,Philippe Coutinho,br BRA,MFFW,Barcelona,29,1992,12,5,503,5.6,2,0,1,1,1,1,0,0.36,0.00,0.36,0.18,0.18,2.8,2.0,0.3,2.4,0.50,0.06,0.56,0.36,0.42,Matches,0ef89a37
132,Cristo,es ESP,DF,Real Sociedad,21,2000,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.03,0.39,0.42,0.03,0.42,Matches,ad81ba78
133,Juan Cruz Armada,es ESP,DF,Osasuna,29,1992,23,22,1934,21.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.01,0.00,0.02,0.01,0.02,Matches,a56da3ba
134,Marc Cucurella,es ESP,FWDF,Getafe,23,1998,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.22,0.23,0.45,0.22,0.45,Matches,1daec722
135,Jorge Cuenca,es ESP,DF,Getafe,21,1999,32,31,2683,29.8,1,0,1,0,0,6,2,0.03,0.00,0.03,0.03,0.03,0.7,0.7,0.1,0.8,0.02,0.00,0.03,0.02,0.03,Matches,0abc51f2
136,Matheus Cunha,br BRA,FW,Atlético Madrid,22,1999,29,8,1063,11.8,6,4,6,0,0,3,0,0.51,0.34,0.85,0.51,0.85,6.3,6.3,2.2,8.5,0.53,0.19,0.72,0.53,0.72,Matches,dc62b55d
137,Sergi Darder,es ESP,MF,Espanyol,27,1993,36,36,3125,34.7,3,9,3,0,0,4,0,0.09,0.26,0.35,0.09,0.35,2.8,2.8,4.9,7.8,0.08,0.14,0.22,0.08,0.22,Matches,070a3904
138,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,27,1994,36,24,2151,23.9,3,1,3,0,0,7,0,0.13,0.04,0.17,0.13,0.17,1.6,1.6,4.1,5.7,0.07,0.17,0.24,0.07,0.24,Matches,162efffd
139,Thomas Delaney,dk DEN,MF,Sevilla,29,1991,26,15,1549,17.2,2,1,2,0,0,4,1,0.12,0.06,0.17,0.12,0.17,1.3,1.3,0.6,1.8,0.07,0.03,0.11,0.07,0.11,Matches,fe641c1a
140,Ousmane Dembélé,fr FRA,FW,Barcelona,24,1997,21,15,1409,15.7,1,13,1,0,0,3,0,0.06,0.83,0.89,0.06,0.89,2.8,2.8,7.8,10.6,0.18,0.50,0.68,0.18,0.68,Matches,b19db005
141,Yusuf Demir,at AUT,FW,Barcelona,18,2003,6,2,192,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04,Matches,fa265f6d
142,Memphis Depay,nl NED,FW,Barcelona,27,1994,28,20,1851,20.6,12,2,8,4,5,3,0,0.58,0.10,0.68,0.39,0.49,11.0,7.2,3.9,11.1,0.53,0.19,0.73,0.35,0.54,Matches,8f696594
143,Sergiño Dest,us USA,DFFW,Barcelona,20,2000,21,17,1512,16.8,0,3,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,1.5,1.5,2.8,4.3,0.09,0.16,0.26,0.09,0.26,Matches,5976f83e
144,Boulaye Dia,sn SEN,FW,Villarreal,24,1996,25,13,1269,14.1,5,5,5,0,0,3,0,0.35,0.35,0.71,0.35,0.71,5.0,5.0,1.9,6.9,0.36,0.13,0.49,0.36,0.49,Matches,244bc2c8
145,Mouctar Diakhaby,gn GUI,DF,Valencia,24,1996,29,21,1948,21.6,0,1,0,0,0,11,0,0.00,0.05,0.05,0.00,0.05,0.5,0.5,0.1,0.6,0.02,0.01,0.03,0.02,0.03,Matches,d2110326
146,Javier Díaz,es ESP,GK,Sevilla,24,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,17a1299d
147,Víctor Díaz,es ESP,DF,Granada,33,1988,22,18,1500,16.7,1,0,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,1.1,1.1,0.2,1.3,0.07,0.01,0.08,0.07,0.08,Matches,3624ce4c
148,Landry Dimata,be BEL,FWMF,Espanyol,23,1997,17,4,541,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.2,1.6,0.22,0.04,0.26,0.22,0.26,Matches,b5f63410
149,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,27,1993,31,30,2772,30.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,fc70e345
150,Matías Dituro,ar ARG,GK,Celta Vigo,34,1987,38,38,3420,38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,b6160ad0
151,Djené,tg TOG,DF,Getafe,29,1991,35,35,3115,34.6,0,1,0,0,0,11,1,0.00,0.03,0.03,0.00,0.03,0.1,0.1,0.3,0.4,0.00,0.01,0.01,0.00,0.01,Matches,a4971d84
152,Naïs Djouahra,fr FRA,FWMF,Real Sociedad,21,1999,7,1,219,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.6,0.11,0.12,0.23,0.11,0.23,Matches,3594a357
153,Marko Dmitrović,rs SRB,GK,Sevilla,29,1992,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ac295d9e
154,Jaume Doménech,es ESP,GK,Valencia,30,1990,4,3,343,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c9cb972b
155,Carlos Dominguez,es ESP,DF,Celta Vigo,20,2001,8,3,344,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches,3521abfe
156,Mario Dominguez,es ESP,FW,Valencia,17,2004,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d709cd5c
157,John Donald,es ESP,DF,Elche,20,2000,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.09,0.01,0.10,0.09,0.10,Matches,5e95c000
158,Domingos Duarte,pt POR,DF,Granada,26,1995,21,19,1687,18.7,1,0,1,0,0,7,1,0.05,0.00,0.05,0.05,0.05,0.7,0.7,0.0,0.7,0.04,0.00,0.04,0.04,0.04,Matches,93090f69
159,Óscar Duarte,cr CRC,DF,Levante,32,1989,23,20,1773,19.7,2,0,2,0,0,5,0,0.10,0.00,0.10,0.10,0.10,1.1,1.1,0.3,1.3,0.05,0.01,0.07,0.05,0.07,Matches,aa0ac32d
160,Rubén Duarte,es ESP,DF,Alavés,25,1995,34,31,2621,29.1,0,4,0,0,0,12,1,0.00,0.14,0.14,0.00,0.14,0.5,0.5,2.1,2.6,0.02,0.07,0.09,0.02,0.09,Matches,1fe0492d
161,Unai Dufur,es ESP,DF,Osasuna,22,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches,c261b5dd
162,Hugo Duro,es ESP,FWMF,Valencia,21,1999,30,22,1834,20.4,7,1,7,0,0,3,1,0.34,0.05,0.39,0.34,0.39,3.8,3.8,0.9,4.7,0.19,0.04,0.23,0.19,0.23,Matches,37e103f8
163,Hugo Duro,es ESP,DFMF,Getafe,21,1999,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.84,0.00,0.84,0.84,0.84,Matches,37e103f8
164,Aritz Elustondo,es ESP,DF,Real Sociedad,27,1994,30,22,2105,23.4,4,1,4,0,0,3,1,0.17,0.04,0.21,0.17,0.21,2.1,2.1,0.2,2.2,0.09,0.01,0.10,0.09,0.10,Matches,f7dc2ae5
165,Adri Embarba,es ESP,FWMF,Espanyol,29,1992,32,24,1986,22.1,0,2,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,3.1,3.1,2.5,5.6,0.14,0.11,0.25,0.14,0.25,Matches,db8f0eba
166,Emerson,br BRA,DF,Barcelona,22,1999,3,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,df8b52a5
167,Youssef En-Nesyri,ma MAR,FW,Sevilla,24,1997,23,15,1277,14.2,5,1,4,1,1,1,0,0.35,0.07,0.42,0.28,0.35,5.8,5.1,1.3,6.3,0.41,0.09,0.50,0.36,0.45,Matches,04e17fd5
168,Gonzalo Escalante,ar ARG,MF,Alavés,28,1993,17,15,1300,14.4,5,0,5,0,0,8,1,0.35,0.00,0.35,0.35,0.35,2.9,2.9,0.1,3.0,0.20,0.01,0.21,0.20,0.21,Matches,3f79a1c8
169,Aarón Escandell,es ESP,GK,Granada,25,1995,4,3,284,3.2,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,67669ce7
170,Sergio Escudero,es ESP,DFMF,Granada,31,1989,27,15,1434,15.9,2,1,2,0,0,6,0,0.13,0.06,0.19,0.13,0.19,1.5,1.5,1.1,2.6,0.09,0.07,0.16,0.09,0.16,Matches,b0616e3d
171,Alfonso Espino,uy URU,DF,Cádiz,29,1992,37,37,3329,37.0,2,2,2,0,0,6,0,0.05,0.05,0.11,0.05,0.11,1.6,1.4,3.9,5.3,0.04,0.11,0.15,0.04,0.14,Matches,db001fa9
172,Estanis,es ESP,FW,Barcelona,17,2003,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ace50e9f
173,Pervis Estupiñán,ec ECU,DF,Villarreal,23,1998,28,17,1575,17.5,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.7,0.7,1.9,2.6,0.04,0.11,0.15,0.04,0.15,Matches,d38fdf53
174,Abdessamad Ezzalzouli,ma MAR,FWDF,Barcelona,19,2001,10,6,580,6.4,1,0,1,0,0,4,0,0.16,0.00,0.16,0.16,0.16,1.3,1.3,0.6,1.9,0.20,0.09,0.29,0.20,0.29,Matches,bed68338
175,Radamel Falcao,co COL,FW,Rayo Vallecano,35,1986,22,8,838,9.3,6,0,6,0,0,1,0,0.64,0.00,0.64,0.64,0.64,4.4,4.4,0.7,5.1,0.47,0.07,0.55,0.47,0.55,Matches,66116290
176,Fali,es ESP,DFMF,Cádiz,27,1993,28,23,1803,20.0,0,2,0,0,0,6,0,0.00,0.10,0.10,0.00,0.10,0.8,0.8,1.0,1.8,0.04,0.05,0.09,0.04,0.09,Matches,72a84002
177,Omar Faraj,se SWE,FW,Levante,19,2002,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,de627c8a
178,Ansu Fati,es ESP,FW,Barcelona,18,2002,10,3,336,3.7,4,0,4,0,0,0,0,1.07,0.00,1.07,1.07,1.07,1.4,1.4,0.7,2.1,0.37,0.19,0.56,0.37,0.56,Matches,0ba976e4
179,Aleix Febas,es ESP,MF,Mallorca,25,1996,4,1,117,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches,38126309
180,Nabil Fekir,fr FRA,MF,Betis,28,1993,34,33,2794,31.0,6,8,6,0,0,7,1,0.19,0.26,0.45,0.19,0.45,5.0,5.0,6.8,11.8,0.16,0.22,0.38,0.16,0.38,Matches,bece776f
181,Felipe,br BRA,DF,Atlético Madrid,32,1989,26,15,1504,16.7,2,1,2,0,0,5,1,0.12,0.06,0.18,0.12,0.18,1.0,1.0,0.4,1.4,0.06,0.03,0.09,0.06,0.09,Matches,51a3c4c8
182,João Félix,pt POR,FWMF,Atlético Madrid,21,1999,24,13,1263,14.0,8,4,8,0,0,3,1,0.57,0.29,0.86,0.57,0.86,5.0,5.0,3.7,8.6,0.36,0.26,0.62,0.36,0.62,Matches,8aafd64f
183,Aitor Fernández,es ESP,GK,Levante,30,1991,13,13,1166,13.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a01c3d54
184,Álex Fernández,es ESP,MF,Cádiz,28,1992,32,22,2051,22.8,3,2,2,1,2,2,0,0.13,0.09,0.22,0.09,0.18,2.9,1.4,1.6,3.0,0.13,0.07,0.20,0.06,0.13,Matches,aa677a35
185,Fernando,br BRA,MFDF,Sevilla,34,1987,24,21,1850,20.6,1,1,1,0,0,6,0,0.05,0.05,0.10,0.05,0.10,0.6,0.6,0.3,0.9,0.03,0.01,0.04,0.03,0.04,Matches,41f32541
186,Fidel,es ESP,MFFW,Elche,31,1989,33,29,2261,25.1,5,6,4,1,1,9,0,0.20,0.24,0.44,0.16,0.40,3.1,2.3,5.1,7.4,0.12,0.20,0.32,0.09,0.29,Matches,eb82b6f1
187,José Fontán,es ESP,DF,Celta Vigo,21,2000,9,3,276,3.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.04,0.03,0.07,0.04,0.07,Matches,1827a42d
188,Dimitri Foulquier,fr FRA,DF,Valencia,28,1993,29,25,2342,26.0,0,1,0,0,0,11,0,0.00,0.04,0.04,0.00,0.04,0.8,0.8,0.7,1.5,0.03,0.03,0.06,0.03,0.06,Matches,45e17712
189,Dimitri Foulquier,fr FRA,DF,Granada,28,1993,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,45e17712
190,Juan Foyth,ar ARG,DF,Villarreal,23,1998,25,22,1924,21.4,1,1,1,0,0,6,1,0.05,0.05,0.09,0.05,0.09,0.5,0.5,1.8,2.3,0.02,0.08,0.11,0.02,0.11,Matches,6c7762c3
191,Enric Franquesa,es ESP,DF,Levante,24,1997,16,6,625,6.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.00,0.02,0.03,0.00,0.03,Matches,40883e3a
192,Jorge de Frutos,es ESP,MFFW,Levante,24,1997,25,20,1760,19.6,4,7,4,0,0,4,0,0.20,0.36,0.56,0.20,0.56,5.8,5.8,3.3,9.1,0.30,0.17,0.47,0.30,0.47,Matches,38ce1150
193,Javi Galán,es ESP,DF,Celta Vigo,26,1994,37,37,3298,36.6,0,3,0,0,0,8,0,0.00,0.08,0.08,0.00,0.08,0.4,0.4,2.2,2.6,0.01,0.06,0.07,0.01,0.07,Matches,a4b00319
194,Iñigo Ruiz de Galarreta,es ESP,MF,Mallorca,27,1993,22,17,1378,15.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.7,1.1,0.03,0.04,0.07,0.03,0.07,Matches,91f7631f
195,Thiago Galhardo,br BRA,FWMF,Celta Vigo,32,1989,31,9,1148,12.8,2,2,2,0,0,5,0,0.16,0.16,0.31,0.16,0.31,3.3,3.3,2.3,5.7,0.26,0.18,0.45,0.26,0.45,Matches,766f48dd
196,Álvaro García,es ESP,FW,Rayo Vallecano,28,1992,36,34,2998,33.3,7,4,7,0,0,6,0,0.21,0.12,0.33,0.21,0.33,6.3,6.3,5.1,11.4,0.19,0.15,0.34,0.19,0.34,Matches,90bbd822
197,Dani García,es ESP,MF,Athletic Club,31,1990,32,27,2177,24.2,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.5,1.3,0.03,0.02,0.05,0.03,0.05,Matches,240d3a0b
198,David García,es ESP,DF,Osasuna,27,1994,35,35,3105,34.5,4,0,4,0,0,8,0,0.12,0.00,0.12,0.12,0.12,1.3,1.3,0.3,1.6,0.04,0.01,0.05,0.04,0.05,Matches,3e42f707
199,Eric García,es ESP,DF,Barcelona,20,2001,26,23,2039,22.7,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.3,0.01,0.01,0.01,0.01,0.01,Matches,2bed3eab
200,Francisco Garcia,es ESP,DF,Rayo Vallecano,21,1999,34,34,3025,33.6,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,0.8,0.8,1.2,2.0,0.02,0.04,0.06,0.02,0.06,Matches,7226539b
201,Joan García,es ESP,GK,Espanyol,20,2001,2,1,108,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,87b498b0
202,Manu García,es ESP,MF,Alavés,23,1998,24,10,1077,12.0,0,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.3,0.3,1.1,1.4,0.03,0.09,0.12,0.03,0.12,Matches,6ed1a2a2
203,Raúl García,es ESP,FW,Athletic Club,35,1986,35,24,1802,20.0,6,2,6,0,1,3,0,0.30,0.10,0.40,0.30,0.40,6.0,5.2,2.7,7.9,0.30,0.13,0.43,0.26,0.39,Matches,b418dbd4
204,Rubén García,es ESP,FWMF,Osasuna,28,1993,37,30,2375,26.4,1,6,1,0,2,1,0,0.04,0.23,0.27,0.04,0.27,3.1,1.6,3.4,5.0,0.12,0.13,0.25,0.06,0.19,Matches,5c96b017
205,Saúl García,es ESP,FW,Alavés,26,1994,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,dafa5038
206,Unai García,es ESP,DF,Osasuna,29,1992,18,15,1408,15.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.02,0.01,0.03,0.02,0.03,Matches,4a633cfe
207,Mario Gaspar,es ESP,DF,Villarreal,30,1990,12,7,623,6.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.8,0.03,0.08,0.11,0.03,0.11,Matches,fb5d47b3
208,Óscar Gil,es ESP,DF,Espanyol,23,1998,22,20,1688,18.8,0,2,0,0,0,7,0,0.00,0.11,0.11,0.00,0.11,0.3,0.3,2.5,2.8,0.01,0.14,0.15,0.01,0.15,Matches,6652cf96
209,Mario Gila,es ESP,DF,Real Madrid,20,2000,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9c435456
210,Dani Gómez,es ESP,FW,Levante,23,1998,28,11,1063,11.8,4,2,4,0,0,1,0,0.34,0.17,0.51,0.34,0.51,5.0,5.0,2.2,7.1,0.42,0.18,0.60,0.42,0.60,Matches,0e5ddc7c
211,Maxi Gómez,uy URU,FW,Valencia,24,1996,29,21,1956,21.7,5,1,5,0,0,7,1,0.23,0.05,0.28,0.23,0.28,5.2,5.2,1.9,7.1,0.24,0.09,0.33,0.24,0.33,Matches,4c2e9442
212,Moi Gómez,es ESP,MFFW,Villarreal,27,1994,29,13,1286,14.3,2,2,2,0,0,2,0,0.14,0.14,0.28,0.14,0.28,2.7,2.7,2.3,5.0,0.19,0.16,0.35,0.19,0.35,Matches,5a626448
213,Papu Gómez,ar ARG,MFFW,Sevilla,33,1988,29,19,1784,19.8,5,1,5,0,0,4,0,0.25,0.05,0.30,0.25,0.30,2.5,2.4,2.0,4.3,0.13,0.10,0.23,0.12,0.22,Matches,6e4df551
214,Sergi Gómez,es ESP,DF,Espanyol,29,1992,31,31,2720,30.2,1,2,1,0,0,1,1,0.03,0.07,0.10,0.03,0.10,0.9,0.9,0.8,1.7,0.03,0.02,0.05,0.03,0.05,Matches,bc6f5f06
215,Maxime Gonalons,fr FRA,MF,Granada,32,1989,25,20,1550,17.2,0,2,0,0,0,6,0,0.00,0.12,0.12,0.00,0.12,0.4,0.4,0.8,1.3,0.02,0.05,0.07,0.02,0.07,Matches,b8c1de25
216,Diego González,es ESP,DF,Elche,26,1995,28,19,1793,19.9,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.01,0.00,0.01,0.01,0.01,Matches,4ac7608e
217,Édgar González,es ESP,DF,Betis,24,1997,21,14,1464,16.3,1,1,1,0,0,6,0,0.06,0.06,0.12,0.06,0.12,1.0,1.0,0.6,1.7,0.06,0.04,0.10,0.06,0.10,Matches,49d028db
218,Giovanni González,uy URU,DF,Mallorca,26,1994,9,3,365,4.1,1,0,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,0.5,0.5,0.8,1.4,0.14,0.21,0.34,0.14,0.34,Matches,1fc474ae
219,Nicolás González,es ESP,MF,Barcelona,19,2002,27,12,1114,12.4,2,1,2,0,0,6,0,0.16,0.08,0.24,0.16,0.24,1.4,1.4,1.2,2.6,0.11,0.10,0.21,0.11,0.21,Matches,2c56a792
220,Peter González,do DOM,MFDF,Real Madrid,19,2002,3,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,1.31,1.12,2.43,1.31,2.43,Matches,1ccd3dae
221,Roberto González,es ESP,FWMF,Betis,20,2001,4,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.10,0.00,0.10,0.10,0.10,Matches,56545648
222,Gori,es ESP,MF,Espanyol,19,2002,1,0,9,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f3451c66
223,Andoni Gorosabel,es ESP,DF,Real Sociedad,24,1996,32,25,2289,25.4,0,4,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16,0.6,0.6,2.8,3.3,0.02,0.11,0.13,0.02,0.13,Matches,6f5f82c0
224,Jaume Grau,es ESP,MF,Osasuna,24,1997,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,fc3d2006
225,Dominik Greif,sk SVK,GK,Mallorca,24,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,30061f53
226,Clément Grenier,fr FRA,MF,Mallorca,30,1991,5,0,60,0.7,1,0,1,0,0,1,0,1.50,0.00,1.50,1.50,1.50,0.4,0.4,0.0,0.4,0.57,0.04,0.61,0.57,0.61,Matches,8b298f56
227,Antoine Griezmann,fr FRA,FWMF,Atlético Madrid,30,1991,26,21,1695,18.8,3,4,3,0,0,3,0,0.16,0.21,0.37,0.16,0.37,4.8,4.8,3.4,8.2,0.25,0.18,0.43,0.25,0.43,Matches,df69b544
